"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2018";"Minerais Metálicos - Outros";"PRODUTOS BASICOS";249566;876,913;94,29
"2016";"Minerais Metálicos - Outros";"PRODUTOS MANUFATURADOS";33087;28,514;6,61
"2018";"Minerais Metálicos - Outros";"PRODUTOS MANUFATURADOS";15103;10,08;5,71
"2016";"Minerais Refratários - Diversos";"PRODUTOS MANUFATURADOS";100378069;74705,367;100
"2017";"Minerais Refratários - Diversos";"PRODUTOS MANUFATURADOS";100950829;70767,456;100
"2018";"Minerais Refratários - Diversos";"PRODUTOS MANUFATURADOS";105406202;65515,458;100
"2016";"Minerais Refratários - Outros";"PRODUTOS BASICOS";58648;68,067;100
"2017";"Minerais Refratários - Outros";"PRODUTOS BASICOS";78946;58,089;100
"2018";"Minerais Refratários - Outros";"PRODUTOS BASICOS";23638;30,23;97,58
"2018";"Minerais Refratários - Outros";"PRODUTOS MANUFATURADOS";586;0,26;2,42
"2016";"Molibdênio";"PRODUTOS BASICOS";5253841;996,562;93,71
"2017";"Molibdênio";"PRODUTOS BASICOS";2662964;726,97;91,57
"2018";"Molibdênio";"PRODUTOS BASICOS";3826004;769,512;84,1
"2016";"Molibdênio";"PRODUTOS MANUFATURADOS";55668;1,522;0,99
"2017";"Molibdênio";"PRODUTOS MANUFATURADOS";21652;0,105;0,74
"2018";"Molibdênio";"PRODUTOS MANUFATURADOS";17155;0,381;0,38
"2016";"Molibdênio";"PRODUTOS SEMIMANUFATURADOS";296704;32,351;5,29
"2017";"Molibdênio";"PRODUTOS SEMIMANUFATURADOS";223492;17,559;7,69
"2018";"Molibdênio";"PRODUTOS SEMIMANUFATURADOS";705925;40,733;15,52
"2016";"Nióbio";"PRODUTOS SEMIMANUFATURADOS";1331514780;64657,552;100
"2017";"Nióbio";"PRODUTOS SEMIMANUFATURADOS";1608188082;80716,764;100
"2018";"Nióbio";"PRODUTOS SEMIMANUFATURADOS";2011633328;95528,441;100
"2016";"Níquel";"PRODUTOS BASICOS";30250041;39964,881;4,86
"2017";"Níquel";"PRODUTOS BASICOS";3936876;912,06;0,66
"2018";"Níquel";"PRODUTOS BASICOS";2250408;739,347;0,32
